,R&D Spend,Administration,Marketing Spend,State
7,130298.13,145530.06,323876.68,1
14,119943.24,156547.42,256512.92,1
45,1000.23,124153.04,1903.93,0
48,542.05,51743.15,0.0,0
29,65605.48,153032.06,107138.38,0
15,114523.61,122616.84,261776.23,0
30,61994.48,115641.28,91131.24,1
32,63408.86,129219.61,46085.25,2
16,78013.11,121597.55,264346.06,2
42,23640.93,96189.63,148001.11,2
20,76253.86,113867.3,298664.47,2
43,15505.73,127382.3,35534.17,0
8,120542.52,148718.95,311613.29,0
13,91992.39,135495.07,252664.93,2
25,64664.71,139553.16,137962.62,2
5,131876.9,99814.71,362861.36,0
17,94657.16,145077.58,282574.31,0
40,28754.33,118546.05,172795.67,2
49,0.0,116983.8,45173.06,2
1,162597.7,151377.59,443898.53,2
12,93863.75,127320.38,249839.44,1
37,44069.95,51283.14,197029.42,2
24,77044.01,99281.34,140574.81,0
6,134615.46,147198.87,127716.82,2
23,67532.53,105751.03,304768.73,1
36,28663.76,127056.21,201126.82,1
21,78389.47,153773.43,299737.29,0
19,86419.7,153514.11,0.0,0
9,123334.88,108679.17,304981.62,2
39,38558.51,82982.09,174999.3,2
46,1315.46,115816.21,297114.46,1
3,144372.41,118671.85,383199.62,0
0,165349.2,136897.8,471784.1,0
47,0.0,135426.92,0.0,2
44,22177.74,154806.14,28334.72,2
